iter	Passed	Remaining
443	1253	1570
444	1256	1566
445	1258	1563
446	1260	1559
447	1263	1556
448	1265	1553
449	1267	1549
450	1270	1545
451	1271	1542
452	1274	1538
453	1276	1534
454	1278	1531
455	1280	1527
456	1283	1524
457	1285	1521
458	1287	1517
459	1289	1513
460	1291	1510
461	1293	1506
462	1295	1503
463	1298	1500
464	1301	1497
465	1303	1493
466	1305	1490
467	1307	1486
468	1309	1482
469	1311	1479
470	1314	1476
471	1316	1473
472	1318	1469
473	1320	1465
474	1322	1461
475	1324	1458
476	1326	1454
477	1329	1451
478	1331	1448
479	1334	1445
480	1336	1442
481	1338	1438
482	1341	1435
483	1343	1431
484	1345	1428
485	1348	1425
486	1350	1422
487	1352	1418
488	1354	1415
489	1356	1411
490	1359	1408
491	1362	1406
492	1364	1403
493	1366	1400
494	1369	1397
495	1371	1394
496	1374	1390
497	1376	1387
498	1378	1384
499	1381	1381
500	1383	1378
501	1385	1374
502	1387	1371
503	1389	1367
504	1392	1364
505	1395	1362
506	1397	1359
507	1400	1356
508	1402	1352
509	1404	1349
510	1406	1346
511	1409	1343
512	1414	1342
513	1417	1339
514	1419	1336
515	1421	1333
516	1424	1330
517	1426	1327
518	1430	1325
519	1432	1322
520	1435	1319
521	1438	1316
522	1441	1314
523	1444	1311
524	1447	1309
525	1450	1306
526	1452	1303
527	1454	1300
528	1457	1297
529	1459	1294
530	1462	1291
531	1465	1289
532	1467	1285
533	1469	1282
534	1472	1279
535	1474	1276
536	1477	1274
537	1480	1271
538	1482	1268
539	1484	1264
540	1487	1261
541	1489	1258
542	1493	1256
543	1496	1254
544	1498	1251
545	1501	1248
546	1503	1245
547	1506	1242
548	1509	1239
549	1511	1236
550	1514	1233
551	1516	1230
552	1518	1227
553	1521	1224
554	1524	1221
555	1526	1219
556	1529	1216
557	1532	1213
558	1534	1210
559	1537	1207
560	1540	1205
561	1545	1204
562	1549	1202
563	1552	1200
564	1557	1199
565	1562	1198
566	1567	1196
567	1573	1196
568	1579	1196
569	1586	1196
570	1590	1195
571	1595	1193
572	1597	1190
573	1600	1187
574	1603	1184
575	1606	1182
576	1609	1180
577	1612	1177
578	1615	1174
579	1617	1171
580	1620	1168
581	1624	1167
582	1628	1164
583	1630	1161
584	1632	1157
585	1634	1154
586	1636	1151
587	1638	1148
588	1641	1145
589	1644	1142
590	1646	1139
591	1648	1136
592	1650	1132
593	1652	1129
594	1655	1126
595	1657	1123
596	1659	1120
597	1662	1117
598	1664	1114
599	1666	1110
600	1668	1107
601	1670	1104
602	1673	1101
603	1676	1098
604	1678	1095
605	1680	1092
606	1682	1089
607	1685	1086
608	1687	1083
609	1690	1081
610	1693	1078
